Canonical Name,Variations,Total Occurrences,Sample Movies
"j.v. raghavulu","j.v. raghavulu | j. v. raghavulu",8,"Mogudu Kaavali (1980) [music_director]; Rangoon Rowdy (1979) [music_director]; Kalahala Kapuram (1982) [music_director]; Rojulu Marayi (1984) [music_director]; Devanthakudu (1984) [music_director]; Patnam Vachina Pativrathalu (1981) [music_director]; Srirasthu Subhamasthu (1981) [music_director]; Bramhachari Mogudu (1994) [music_director]"
"p. sambasiva rao","g. sambasiva rao | p. sambasiva rao",8,"All the Best (2012) [producer]; Jaggu (1982) [director]; Jaggu (1982) [writer]; Srirasthu Subhamasthu (1981) [writer]; Allari Bava (1980) [director]; Kalakaar (1983) [director]; Manassakshi (1977) [director]; Ammayilu Jagratha (1975) [director]"
"s. d. lal","s. d. lal | s.d. lal",7,"Nijam Nirupista (1972) [director]; Nakili Manishi (1980) [director]; Shri Rama Bantu (1979) [writer]; Lawyer Viswanath (1978) [director]; Naa Pere Bhagavan (1976) [director]; Bhale Master (1968) [director]; Shri Rama Bantu (1979) [director]"
"r. p. patnaik","r. p. patnaik | r.p. patnaik",7,"Sreeram (2002) [music_director]; Nee Sneham (2002) [music_director]; Seenu Vasanthi Lakshmi (2004) [music_director]; Nijam (2003) [music_director]; Friends Book (2012) [music_director]; Swagatam (2008) [music_director]; Friends Book (2012) [director]"
"l.v. prasad","b. v. prasad | l.v. prasad | l. v. prasad",7,"Kurukshetramlo Sita (1984) [director]; Doo Doo Basavanna (1978) [director]; Daasi (1952) [director]; Drohi (1948) [director]; Mana Desam (1949) [director]; Poongothai (1953) [director]; Poongothai (1953) [writer]"
"p. pullaiah","c. pullaiah | p. pullaiah",6,"Bhuvana Sundari Katha (1967) [director]; Sri Venkateswara Mahatyam (1960) [director]; Preminchi Choodu (1989) [director]; Choodamani (1941) [director]; Prana Mithrulu (1967) [director]; Dharmangadha (1949) [director]"
"v. madhusudhana rao","d. madhusudhana rao | v. madhusudhana rao",6,"Aathmeeyulu (1969) [producer]; Aathmeeyulu (1969) [writer]; Kalyana Mandapam (1971) [director]; Andaman Ammayi (1979) [director]; Vichitra Jeevitham (1978) [director]; Eetharam Manishi (1977) [director]"
"v ravichandran","v ravichandran | ravichandran | v. ravichandran",5,"Ravi Bopanna (2022) [hero]; Ravi Bopanna (2022) [director]; Sabadham (1971) [hero]; Roja Kootam (2002) [producer]; Dasavathaaram (2008) [producer]"
"sarath","r. sarath | sarath",5,"The Desire (2010) [director]; Railway Coolie (2001) [director]; Collectorgari Alludu (1992) [director]; Bhale Bullodu (1995) [director]; Vamsanikokkadu (1996) [director]"
"m. m. srilekha","m. m. srilekha | m.m. srilekha",5,"Adhyakshaa (2008) [music_director]; Donga Sachinollu (2008) [music_director]; Bommana Brothers Chandana Sisters (2008) [music_director]; Krish (2021) [music_director]; Radha Krishna (2021) [music_director]"
"r. madhavan","r. madhavan | p. madhavan",4,"Shaitaan (2024) [heroine]; Rocketry: The Nambi Effect (2022) [hero]; Rocketry: The Nambi Effect (2022) [director]; Sabadham (1971) [director]"
"shankar","shankar | s. shankar | b. shankar | n. shankar",4,"Indian 2: Zero Tolerance (2024) [director]; Sivaji (2007) [director]; Radha My Darling (1982) [music_director]; Bhadrachalam (2001) [director]"
"b. s. narayana","b. s. narayana | m. s. narayana",4,"Nimajjanam (1979) [director]; Who is she? (1966) [director]; Who is she? (1966) [writer]; Bhajantrilu (2007) [director]"
"s. varalakshmi","s. varalakshmi | g. varalakshmi",4,"Chilaka Gorinka (1966) [heroine]; Naga Panchami (1956) [heroine]; Srikakula Andhra Maha Vishnu Katha (1966) [heroine]; Drohi (1948) [heroine]"
"k. s. prakash rao","k. s. prakash rao | k.s. prakash rao | d. s. prakash rao",4,"Rajasekhar (1990) [director]; Agni (1989) [producer]; Rajamahal (1972) [director]; Santanam Soubhagyam (1975) [director]"
"p. sunil kumar reddy","p. sunil kumar reddy | sunil kumar reddy",4,"Sontha ooru (2009) [director]; Gulf (2017) [music_director]; Gulf (2017) [director]; Gulf (2017) [writer]"
"s.a. chandrasekhar","s.a. chandrasekhar | s. a. chandrasekhar",4,"Devanthakudu (1984) [director]; Chattaniki Kallu Levu (1981) [director]; Devanthakudu (1984) [writer]; Chattaniki Kallu Levu (1981) [writer]"
"manikandan","m. manikandan | manikandan",3,"Kadaisi Vivasayi (2022) [director]; Good Night (2023) [hero]; Lover (2024) [hero]"
"j. mahendran","mahendran | j. mahendran",3,"Mullum Malarum (1978) [director]; Johnny (1980) [director]; Johnny (1980) [writer]"
