Actor,Title,Year,Role,Language,Priority
"rajendra prasad","Oo Pe Ku Ha",2018,"Actor (Supporting)",Telugu,Medium
"rajendra prasad","Nadigai",2008,"Actor (Supporting)",Telugu,Medium
"rambha","Sudhandhiram",2000,"Actor (Supporting)",Telugu,Medium
"rambha","Military",2003,"Actor (Supporting)",Telugu,Medium
"rambha","Thilak",2004,"Cameo appearance in song """"Izhutha Izhuthu"" (Cameo)",Telugu,Medium
"rambha","Sukran",2005,"Cameo appearance in song """"Saathikadi"" (Cameo)",Telugu,Medium
"rambha","Oru Kadhalan Oru Kadhali",2009,"Actor (Supporting)",Telugu,Medium
"rambha","Pen Singam",2010,"Extended Cameo (Cameo)",Telugu,Medium
"rambha","Krodh",2000,"Actor (Supporting)",Telugu,Medium
"rambha","Kyo Kii... Main Jhuth Nahin Bolta",2001,"Actor (Supporting)",Telugu,Medium
"rambha","Baava Baamaida",2001,"Actor (Supporting)",Telugu,Medium
"rambha","Sahukara",2004,"Actor (Supporting)",Telugu,Medium
"rambha","Pandu Ranga Vittala",2005,"Actor (Supporting)",Telugu,Medium
"rambha","Anatharu",2007,"Cameo (Cameo)",Telugu,Medium
"rambha","Chronic Bachelor",2003,"Actor (Supporting)",Telugu,Medium
"rambha","Mayilattam",2004,"Actor (Supporting)",Telugu,Medium
"rambha","Kochi Rajavu",2005,"Actor (Supporting)",Telugu,Medium
"rambha","Payum Puli",2007,"Actor (Supporting)",Telugu,Medium
"rambha","Kabadi Kabadi",2008,"Actor (Supporting)",Telugu,Medium
"rambha","Refugee",2006,"Actor (Supporting)",Telugu,Medium
"rambha","Dhee Ultimate Dance Show",2011,"Actor (Supporting)",Telugu,Medium
"rambha","Kings of Comedy Juniors",2017,"Actor (Supporting)",Telugu,Medium
"ravi teja","Sambho Siva Sambho",2010,"Actor (Supporting)",Telugu,Medium
"ravi teja","Awe",2018,"Actor (Supporting)",Telugu,Medium
"ravi teja","Mahaveerudu",2023,"Actor (Supporting)",Telugu,High
"rohit","RAM (Rapid Action Mission)",2024,"Actor (Supporting)",Telugu,High
"sarath babu","Anbu",2003,"Actor (Supporting)",Telugu,Medium
"sarath babu","Arul",2004,"Actor (Supporting)",Telugu,Medium
"sarath babu","Kalvanin Kadhali",2006,"Actor (Supporting)",Telugu,Medium
"sarath babu","Velli Thirai",2008,"Actor (Supporting)",Telugu,Medium
"sarath babu","Namyajamanru",2009,"Actor (Supporting)",Telugu,Medium
"sarath babu","Ilaignan",2011,"Actor (Supporting)",Telugu,Medium
"sarath babu","AK 56",2012,"Actor (Supporting)",Telugu,Medium
"sarath babu","Ramanujan",2013,"Actor (Supporting)",Telugu,Medium
"sarath babu","Vasantha Mullai",2023,"Actor (Supporting)",Telugu,High
"sarath babu","Mannan Magal",2014,"Actor (Supporting)",Telugu,Medium
"satyanarayana","Yamagola Malli Modalayindi",2007,"Actor (Supporting)",Telugu,Medium
"satyanarayana","Periyar",2007,"Actor (Supporting)",Telugu,Medium
"sharada","Mazhathullikkilukkam",2002,"Actor (Supporting)",Telugu,Medium
"sharada","Rappakal",2005,"Actor (Supporting)",Telugu,Medium
"sharada","Kalikaalam",2012,"Actor (Supporting)",Telugu,Medium
"sharada","Ammakkoru Tharattu",2015,"Actor (Supporting)",Telugu,Medium
"sharada","Yaar Meri Zindagi",2008,"Actor (Supporting)",Telugu,Medium
"simran","Pop Carn",2003,"Actor (Supporting)",Telugu,Medium
"simran","Kichaa Vayasu 16",2005,"Actor (Supporting)",Telugu,Medium
"simran","Heart Beats",2007,"Actor (Supporting)",Telugu,Medium
"simran","TN-07 AL 4777",2009,"Actor (Supporting)",Telugu,Medium
"simran","Trisha Illana Nayanthara",2015,"Actor (Supporting)",Telugu,Medium
"simran","Karai Oram",2016,"Guest appearance (Cameo)",Telugu,Medium
"simran","Koditta Idangalai Nirappuga",2017,"Guest appearance (Cameo)",Telugu,Medium
"simran","Odu Raja Odu",2018,"Cameo appearance (Cameo)",Telugu,Medium
"simran","Paava Kadhaigal",2020,"Actor (Supporting)",Telugu,High
"simran","Gulmohar",2023,"Actor (Supporting)",Telugu,High
"simran","Citadel: Honey Bunny",2024,"Actor (Supporting)",Telugu,High
"sumanth","Malli Raava",2017,"Actor (Supporting)",Telugu,Medium
"sunil","Balu ABCDEFG",2005,"Actor (Supporting)",Telugu,Medium
"sunil","Thiru Ranga",2007,"Actor (Supporting)",Telugu,Medium
"sunil","Turbo",2024,"Actor (Supporting)",Telugu,High
"sunil","Bigg Boss 2",2017,"Guest appearance (Cameo)",Telugu,Medium
"sunil","AIR: All India Rankers",2025,"Actor (Supporting)",Telugu,High
"tarun","Anukoni Athidhi",2020,"Actor (Supporting)",Telugu,High
"varun sandesh","Nuvvu Thopu Raa",2019,"Cameo appearance&#91;21&#93; (Cameo)",Telugu,Medium
"venu","Bahumati",2007,"Actor (Supporting)",Telugu,Medium
"venu","Ramachari",2013,"Actor (Supporting)",Telugu,Medium
"vishnu","Saleem",2009,"Actor (Supporting)",Telugu,Medium
"vishnu","Chadarangam",2020,"Actor (Supporting)",Telugu,High
