Movie ID,Title,Year,Slug,Category,Issue,Severity,Current Value,Suggested Action
98bb4726-2efb-47fb-ba2b-8d754dc000d7,"Ranger",2026,"ranger-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
5187e158-66eb-4f2b-bc6d-e26f4295a450,"Bommalattam",2008,"bommalattam-2008","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
b994c347-d1e4-4edd-96f5-79f8baca9bea,"Ranveer Ching Returns",2016,"ranveer-ching-returns-2016","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
32f15694-0b9d-4282-8f23-9b210e484af6,"Seetha Payanam",2026,"seetha-payanam-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
8a41ee2a-ffa3-4812-b9f4-da5b8fedbaac,"Swayambhu",2026,"swayambhu-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
a3d4f427-f628-4279-b8b1-874dba18a164,"Funky",2026,"funky-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
a4b6ba72-185b-435c-a481-1807fcad5197,"Joot",2003,"joot-2003","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
09db026f-9e52-4ff3-9432-d48e611c3d79,"Jaani Dost",1983,"jaani-dost-1983","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
53d9286b-54c1-42b8-afc9-fc6f96c0bc3d,"Independence",1999,"independence-1999","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
96178d3c-b21f-4894-90a9-c1902e0784e9,"Kalyanam Panni Paar",1952,"kalyanam-panni-paar-1952","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
4913b3c6-ce7e-4e5a-a6aa-c2eb6e2989b5,"Mr. Bharath",1986,"mr-bharath-1986","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
f707f942-47d5-4a92-82e4-5acb85776ba0,"Mr. Bechara",1996,"mr-bechara-1996","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
7f3150c7-ffd1-4a7a-806e-c645a91dce8c,"Zakhm",1998,"zakhm-1998","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
7c02513a-48b4-4fbc-90bf-a080eca4ace7,"Indhu",1994,"indhu-1994","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
32d1c1ea-abd5-44ae-980e-369ba2f6ab96,"Athiradi Padai",1994,"athiradi-padai-1994","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
f6cd100d-3bfc-4fbf-9e53-d49bfdc43ca1,"Adimai Changili",1997,"adimai-changili-1997","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
fccc90b7-97f4-461c-86ca-5a561169f763,"Thirunelveli",2000,"thirunelveli-2000","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
75501982-c0f2-4194-8352-651e97519b62,"Chinna Durai",1999,"chinna-durai-1999","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
eabaebd6-9714-48d9-9533-af0431bcab0d,"Exploring Shiva",2014,"exploring-shiva-movie-after-25-years-2014","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
3e774e9c-2d7f-46ff-a9a1-0ee087ec9be3,"Shabdavedhi",2000,"shabdavedhi-2000","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
003f3973-3b96-4590-9a66-5d6e74eef181,"Mana Shankara Vara Prasad Garu",2026,"msvp-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
15f97b32-29cb-470d-8174-2a8ec4a2e33a,"Ghutan",2007,"ghutan-2007","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
b0f1d7d9-d8db-4192-8aa8-b9fe933b5814,"Arasu",2003,"arasu-2003","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
80d9c7ef-ba6e-4555-8d5f-b30439f4415e,"April Maadhathil",2002,"april-maadhathil-2002","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
9ea9b9ce-5838-45e7-84f0-c0adc1ffa834,"Deiva Thirumanangal",1981,"deiva-thirumanangal-1981","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
6fb9e33a-495c-4244-9df1-7c001592f28f,"Andhaa Kaanoon",1983,"andhaa-kaanoon-1983","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
8de2c23e-055a-4087-9860-83a74be23f32,"Oh! Baby",2019,"o-baby-yentha-sakkagunnave-2019","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
46b8c872-a40e-4fff-8993-9353dbf3701f,"Zulm-O-Sitam",1998,"zulm-o-sitam-1998","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
0f13fa23-e39d-48ad-8b01-2697adf3d465,"Mannan",1992,"mannan-1992","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
2db6f71f-6f45-4df2-bd58-1aff5d1df1f8,"Dagudumoota Dandakore",2015,"dagudumoota-dandakore-2015","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
d7141cb1-5b05-4edd-b84c-0c49afe34aba,"Judaai",1997,"judaai-1998","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
aa2aaf0e-7042-490c-8f10-8cc351f3f9bc,"Kuttrapathirikai",2007,"kuttrapathirikai-2007","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
285042d3-ebc9-4074-81de-bd9c03eb6014,"Or Iravu",1951,"or-iravu-1951","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
73343832-e4d3-4129-a583-bb32c3d3a040,"Halla Bol",2008,"halla-bol-2008","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
4d02a2a9-4ca1-4b18-a73c-6cc0ddb102e4,"Unnidathil Ennai Koduthen",1998,"unnidathil-ennai-koduthen-1998","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
be47ebd0-8255-42e3-9049-5391e2fdcbb7,"Prince of Peace",2012,"prince-of-peace-2012","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
4b53b1bb-3a13-45a0-95ce-4d26cc38337e,"Kyun! Ho Gaya Na...",2004,"kyun-ho-gaya-na-2004","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
f60863b0-3cb6-43bf-80c5-0abfdd9f9db8,"Nambiar",2014,"nambiar-2014","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
6b8d7604-32fa-4127-bae3-ae00ed8dfafe,"Meri Biwi Ka Jawab Nahin",2004,"meri-biwi-ka-jawab-nahin-2004","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
fcc781fe-7844-452c-9b9f-8b839838a538,"Chokka Thangam",2003,"chokka-thangam-2003","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
5262a824-36b8-4121-9599-614adf954fd1,"Malayali Mamanu Vanakkam",2002,"malayali-mamanu-vanakkam-2002","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
e7871bb4-22d3-492d-895b-797faeb9b1a8,"Kaathala Kaathala",1998,"kaathala-kaathala-1998","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
2aa6493a-6633-47b2-894f-8db3938f1ede,"Asuran",1995,"asuran-1995","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
9ef3660f-05bb-4b65-8b5c-3568fb369f83,"Angaaray",1998,"angaaray-1998","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
85ab9ba4-130c-423e-be7c-671d2243a5ea,"Rajasthan",1999,"rajasthan-1999","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
6220b82e-a84f-443f-b0de-78c6c0d6db3d,"Makkal Aatchi",1995,"makkal-aatchi-1995","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 – Shouryanga Parvam",2026,"salaar-part-2-shouryanga-parvam-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
c1b12143-412a-4c03-869b-2864611b9c07,"Parijatham",2006,"parijatham-2006","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
c212cbf8-5145-44b7-8740-a2928fa13c6b,"Hanuman",2005,"hanuman-2005","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
034a4d8c-803d-43cd-9d89-4579074dfbad,"Maurya",2004,"maurya-2004","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
e51fc56d-e23b-44e7-8d46-30dc4308b582,"Luck",2009,"luck-2009","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
e2291068-2a52-4c56-8581-c534925a6f78,"LOC: Kargil",2003,"loc-kargil-2003","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
941e3c98-6767-4e6f-803e-74dab7f3d124,"Meri Warrant",2010,"meri-warrant-2010","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
172f3b50-0230-4758-b946-1faa6dce9d84,"O'Romeo",2026,"o-romeo-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
7e4251fe-2e63-4822-92f2-1b1967687358,"Anantha",2026,"anantha-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
8f789ada-dc92-4075-b01e-f052e1b3ab09,"Ramayana: Part One",2026,"ramayana-part-one-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
2c8c9285-69c9-4a8f-80da-42286d4eb79f,"Sabhaku Namaskaram",2026,"sabhaku-namaskaram-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
0ba0eaf7-0be5-47e4-8260-7abf9c567b1c,"Dark Chocolate",2026,"dark-chocolate-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
08a8b571-0360-4766-9eea-b90d4380f812,"Rajjo",2013,"rajjo-2013","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
8ac900ab-636a-4b62-8ea9-449341cd3539,"Ramaiya Vasta Vaiya",2013,"ramaiya-vasta-vaiya-2013","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
f5980a13-269b-433b-ad20-3ea3ebbd3480,"Parthiban Kanavu",2003,"parthiban-kanavu-2003","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
916dc0f6-b852-4702-9ce5-55721c7f09b5,"The Bed",2026,"the-bed-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
00d07415-78b6-4145-8bbd-a592d4d4d8ac,"Rocky: The Revenge",2019,"rocky-the-revenge-2019","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
01f92cc3-78d8-4eca-aa30-53b94ce2e963,"Alcohol",2026,"alcohol-2026","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: null","Add rating from IMDB/TMDB or editorial review"
e5acaa1a-dbe4-4b94-a1a3-1b2d0e6e0ce3,"Mullum Malarum",1978,"mullum-malarum-1978","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
bf8d95da-be4e-4c9f-bd7a-7247490b850f,"Murattu Kaalai",1980,"murattu-kaalai-1980","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
58583bc1-da6c-43fc-8351-81c351153a21,"Nallavanukku Nallavan",1984,"nallavanukku-nallavan-1984","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
cf891901-0304-4964-9ed7-dca5f576b55a,"Akalmand",1984,"akalmand-1984","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
0e0b3336-2aec-426a-ac10-f005ea156bf5,"Avargal",1977,"avargal-1977","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
1a47948c-8cc0-4345-88d2-408e766205d8,"Aval Appadithan",1978,"aval-appadithan-1978","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
5c39389e-c894-4591-ab62-a7075a7169b6,"Thillu Mullu",1981,"thillu-mullu-1981","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
49ec2250-90e1-4faa-8a49-7b2557ac22c8,"Bairavi",1978,"bairavi-1978","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
db8ab3dc-9c2c-4b7a-850b-8f2faa93d247,"Billa",1980,"billa-1980","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
549a78c3-ae33-43d7-8df9-6eb655f8ddfd,"Velaikaran",1987,"velaikaran-1987","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
1be8cab2-cf74-4aa1-b3a8-d49d41224458,"Moondru Mugam",1982,"moondru-mugam-1982","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
e23a76ec-2d7e-417b-b548-6302a7325ef2,"Annaamalai",1992,"annaamalai-1992","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
8dacf769-d3c5-41af-9d77-1ff542436c72,"Sri Raghavendrar",1985,"sri-raghavendrar-1985","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
f57c9b3d-3da2-44fa-b127-71f2d2451984,"Dosti Dushmani",1986,"dosti-dushmani-1986","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
ee09d57d-9204-42cd-96fd-e4b73e316eea,"Dharmathin Thalaivan",1988,"dharmathin-thalaivan-1988","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
2ba751ad-63db-430c-9ef0-7e723839857d,"Sivaji",2007,"sivaji-2007","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
470b5f05-8afc-4c7a-aede-523b5315aca2,"Manithan",1987,"manithan-1987","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
c26cfa4c-4410-4c86-9772-92560c1ac0e1,"Valli",1993,"valli-1993","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
3c306fdb-ba22-4e2c-8662-f7db2f2973c2,"Guru Sishyan",1988,"guru-sishyan-1988","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
bc4a2a07-4d8f-41cd-8a65-0391f4afbc8a,"Baashha",1995,"baashha-1995","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
1afaec28-3d22-42d0-be4e-fccc89bfd13d,"Ra.One",2011,"raone-2011","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
cc61674f-9ba8-454f-8b05-343f1424a64d,"Apoorva Raagangal",1975,"apoorva-raagangal-1975","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
9419ec3b-7451-4f30-adf7-9f9ac3ec5dfc,"Allauddinum Albhutha Vilakkum",1979,"allauddinum-albhutha-vilakkum-1979","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
9c1e8fee-6054-49a9-9680-6b730eea3d35,"Geraftaar",1985,"geraftaar-1985","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
d9cb3f93-9b5f-42cc-855d-60114f1dd021,"Padikkadavan",1985,"padikkadavan-1985","Missing Ratings","Released movie missing both our_rating and avg_rating",high,"our_rating: null, avg_rating: 0","Add rating from IMDB/TMDB or editorial review"
