Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
rowdy-janardhana-2026,"Rowdy Janardhana",రౌడీ జనార్దన,2026,"Vijay Deverakonda","Keerthy Suresh","Ravikiran Kola"
the-paradise-2026,"The Paradise",ది పారడైజ్,2026,"Nani","Janhvi Kapoor","Srikanth Odela"
sahakutumbaanaam-2026,"Sahakutumbaanaam",సహకుటుంబానాం,2026,"Raam Kiran","Megha Akash","Uday Sharma"
rao-bahadur-2026,"Rao Bahadur",రావు బహదూర్,2026,"Satyadev Kancharana","Deepa Thomas","Venkatesh Maha"
vanaveera-2026,"Vanaveera",వనవీర,2026,"Avinash","Simran Choudhary","Avinash Thiruveedhula"
madham-2026,"Madham",మధం,2026,"Harsha","Inaya Sultana","Vamsee Krishna Malla"
nilakanta-2026,"Nilakanta",నీలకంఠ,2026,"Mahendran","Yashna Chowdary","Rakesh Madhavan"
ranger-2026,"Ranger",,2026,"Ajay Devgn","Tamannaah Bhatia","Jagan Shakti"
anantha-2026,"Anantha",అనంత,2026,"Jagapathi Babu","Suhasini Maniratnam","Suresh Krissna"
the-bed-2026,"The Bed",ది బెడ్,2026,"Srikanth","Srushti Dange","S. Mani Bharathy"
alcohol-2026,"Alcohol",ఆల్కహాల్,2026,"Allari Naresh","Ruhani Sharma","Meher Tej"
dark-chocolate-2026,"Dark Chocolate",డార్క్ చాక్లెట్,2026,"Vishwadev Rachakonda","Bindu Madhavi","Shashank Srivatsavaya"
om-shanti-shanti-shantihi-2026,"Om Shanti Shanti Shantihi",ఓం శాంతి శాంతి శాంతిః,2026,"Tharun Bhascker","Eesha Rebba","Sajeev AR"
funky-2026,"Funky",ఫంకీ,2026,"Vishwak Sen","Kayadu Lohar","Anudeep KV"
seetha-payanam-2026,"Seetha Payanam",సీత పయనం,2026,"Niranjan Sudhindra","Aishwarya Arjun","Arjun Sarja"
lenin-tba,"Lenin",,2026,"Akhil Akkineni","Bhagyashri Borse","Murali Kishor Abburu"
o-romeo-2026,"O'Romeo",,2026,"Shahid Kapoor","Triptii Dimri","Vishal Bhardwaj"
lyf-love-your-father-2025,"LYF - Love Your Father",లవ్ యువర్ ఫాదర్,2025,"Sri Harsha","Kashika Kapoor","Pavan Ketharaju"
the-great-pre-wedding-show-2025,"The Great Pre-Wedding Show",ది గ్రేట్ ప్రీ వెడ్డింగ్ షో,2025,"Thiruveer Reddy","Tinu Shravya","Rahul Srinivas"
shambhala-2025,"Shambhala",,2025,"Mo Tzu-Yi","Rina Takeda","Toshio Sekine"
gandhi-tatha-chettu-2025,"Gandhi Tatha Chettu",గాంధీ తాత చెట్టు,2025,"Chakrapani Ananda","Sukriti Veni","Padmavathi Malladi"
shivangi-2025,"Shivangi",శివంగి,2025,"No Hero Lead","Anandhi","Devaraj Bharani Dharan"
paanch-minar-2025,"Paanch Minar",పాంచ్ మినార్,2025,"Raj Tarun","Raashi Singh","Ramesh Kadumula"
oh-bhama-ayyo-rama-2025,"Oh Bhama Ayyo Rama",ఓ భామ అయ్యో రామ,2025,"Suhas","Malavika Manoj","Ram Godhala"
14-days-girlfriend-intlo-2025,"14 Days",14 డేస్,2025,"Ankith Koyya","Shriya Kontham","Sriharsha Manne"
mass-jathara-2025,"Mass Jathara",మాస్ జాతర,2025,"Ravi Teja","Sreeleela","Bhanu Bogavarapu"
mokshapatam-2025,"Mokshapatam",మోక్షపటం,2025,"Thiruveer Reddy","Pooja Kiran","Rahul Vanaja Rajeshwar"
1000-waala-2025,"1000 Waala",1000 వాలా,2025,"Amith","Navitha Gangat","Afzal Shaik"
28-degree-celsius-2025,"28 Degree Celsius",28 డిగ్రీ సెల్సియస్,2025,"Naveen Chandra","Shalini Vadnikatti","Anil Viswanath"
the-100-2025,"The 100",ది 100,2025,"RK Sagar","Misha Narang","Raghav Omkar Sasidhar"
arjun-chakravarthy-2025,"Arjun Chakravarthy",అర్జున్ చక్రవర్తి,2025,"Vijaya Rama Raju","Sija Rose","Vikrant Srinivas"
dear-uma-2025,"Dear Uma",డియర్ ఉమ,2025,"Pruthvi Ambaar","Sumaya Reddy","Sai Rajesh Mahadav"
neeli-megha-shyama-2025,"Neeli Megha Shyama",నీలి మేఘ శ్యామ,2025,"Vishwadev Rachakonda","Paayal Radhakrishna","Ravi S Varmaa"
jack-2025,"Jack",జాక్,2025,"Siddhu Jonnalagadda","Vaishnavi Chaitanya","Bommarillu Bhaskar"
sundarakanda-2025,"Sundarakanda",సుందరాకాండ,2025,"Nara Rohith","Virti Vaghani","Venkatesh Nimmalapudi"
ari-my-name-is-nobody-2025,"Ari",అరి,2025,"Sai Kumar","Anasuya Bharadwaj","V. JayaShankarr"
baapu-2025,"Baapu",బాపు,2025,"Brahmaji","Aamani, Dhanya Balakrishna","Dayakar Reddy K"
raju-weds-rambai-2025,"Raju Weds Rambai",రాజు వెడ్స్ రాంబాయ్,2025,"Shivaji Raja","Anitha Chowdary","Saailu Kaampati"
bhairavam-2025,"Bhairavam",భైరవం,2025,"Bellamkonda Srinivas","No Female Lead","Vijay Kanakamedala"
oka-pathakam-prakaaram-2025,"Oka Pathakam Prakaaram",ఒక పథకం ప్రకారం,2025,"Sai Ram Shankar","Ashima Narwal","Vinod Vijayan"
akkada-ammayi-ikkada-abbayi-2025,"Akkada Ammayi Ikkada Abbayi",అక్కడ అమ్మాయి ఇక్కడ అబ్బాయి,2025,"Pradeep Machiraju","Deepika Pilli","NitinBharath"
enuguthondam-ghatikachalam-2025,"Ghatikachalam",ఘటికాచలం,2025,"Nikhil Hemanth","No Female Lead","Ravi Babu"
subham-2025,"Subham",,2025,"Srinivas Gavireddy","Samantha","Praveen Kandregula"
oka-brundavanam-2025,"Oka Brundavanam",,2025,"Ananth Babu","Kalyani Raju","Satya Botcha"
mad-2025,"(MAD)²",మ్యాడ్ స్క్వేర్,2025,"Sangeeth Shobhan","No Female Lead","Kalyan Shankar"
dhandoraa-2025,"Dhandoraa",,2025,"Sivaji Sontineni","Bindu Madhavi","Murali Kanth Devasoth"
chaurya-paatham-2025,"Chaurya Paatham",చౌర్య పాఠం,2025,"Mast Ali","Paayal Radhakrishna","Nikhil Gollamari"
baahubali-the-epic-2025,"Baahubali: The Epic",,2025,"Prabhas","Anushka Shetty","S. S. Rajamouli"
arjun-son-of-vyjayanthi-2025,"Arjun Son of Vyjayanthi",అర్జున్ సన్ ఆఫ్ వైజయంతి,2025,"Nandamuri Kalyan Ram","Vijayashanti","Pradeep Chilukuri"
