"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"pushpavalli","Bhaktha Markandeya","1957","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Bhakta Markandeya","బహాకటా మారకానడెయా","1956","94","da3fd401-4642-4120-8629-ee3affe1bfda","Verify and add pushpavalli"
"pushpavalli","Manchi Chedu","1964","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Manchi Chedu","మంచి కహెడు","1963","100","9dc8a781-5a14-4b3b-9f82-ce6014b1a7ab","Verify and add pushpavalli"
"pushpavalli","Pratigna Palana","1966","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Pratignapalana","పరాటిగనాపాలానా","1965","93","3cdf27ee-c9dd-4625-a2ad-6f9c5240f94f","Verify and add pushpavalli"
"raasi","Ankuram","1992","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Ankuram","ానకురామ","1993","100","40a0ed19-0e04-49ca-b154-09ea644f4c3d","Verify and add raasi"
"rajendra prasad","Manushulatho Jagratha","2013","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Manushulatho Jagratha","మానుసహులాటహో జాగరాటహా","2014","100","189b8c0d-5338-4c89-a6fd-ad71a4161e70","Verify and add rajendra prasad"
"rajendra prasad","Inimai Idho Idho","1983","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Inimai Idho Idho","ఇనిమై ఇదో ఇదో","1980","100","ab22a959-7c31-43a8-aa31-5f82dcf5dea6","Verify and add rajendra prasad"
"rambha","Dharma Chakkaram","1997","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Dharma Chakram","ధర్మ చక్రం","1996","87","7c7399d6-7d48-4ca5-8a7a-f8c959532e24","Verify and add rambha"
"sarath babu","Tholi Kodi Koosindi","1981","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Tholi Kodi Koosindi","టహోలి కోడి కోోసినడి","1980","100","064a1b80-2e95-4a77-ac4b-7ec65f351e60","Verify and add sarath babu"
"sarath babu","Kokila","1990","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Kokila","కోకిలా","1989","100","dec1c836-cf1f-420a-8d23-35e0198bf800","Verify and add sarath babu"
"sarath babu","Aryan","2014","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Maryan","","2013","75","09238625-06c2-4951-9c6a-f328e00761db","Verify and add sarath babu"
"satyanarayana","Paramanandayya Sishyula Katha","1967","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Paramanandayya Sishyula Katha","పారామానానడాయయా సిసహయులా కథ","1966","100","d9290f37-89e9-40b1-abf0-b322355eaefd","Verify and add satyanarayana"
"satyanarayana","Tata Manavadu","1972","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Tata Manavadu","టాటా మానావాడు","1973","100","9c0caf4f-37de-4a4f-a119-c66111ac19ea","Verify and add satyanarayana"
"satyanarayana","Pelli Sandadi","1997","Actor (Supporting)","⚠️ EXISTS (YEAR MISMATCH)","Pelli Sandadi","పెళ్ళి సందడి","1995","100","c14ef911-a363-4792-892d-4ec3d1f2f37e","Verify and add satyanarayana"
