"Movie ID","Movie Title","Original Cast Count","Deduplicated Count","Duplicates Removed","Sample Duplicate Names"
"c6da0fb2-86c6-473d-993b-16733ee0e50e","Hope","2","1","1","Kaveri"
"20e59aa7-a5c9-477e-bc9b-2ae946def935","Iddaru Asadhyule","2","1","1","K S R Das"
"bc0a510d-1fa7-4428-a99f-4448a9695e1b","2 Countries","11","10","1","Srinivasa Reddy"
"587e7815-9c1c-4352-8627-21d0ca0b5b9a","Miss. Shetty Mr. Polishetty","14","13","1","Tulasi"
"ecf3fc1b-48f6-49be-b357-98593b2326fa","Kannavari Kalalu","2","1","1","Ramakrishna"
"1943abfe-a92b-4eb7-9003-1e4dae66e166","Veera Simha Reddy","17","16","1","Rajashree"
"5b424db6-3c80-496e-9a24-652125878874","Dil","17","16","1","Sivaji Sontineni"
"385673db-3a88-4f9e-862c-0ba9e1d750f3","Guppedu Manasu","2","1","1","Sujatha"
"6822d373-0f8c-4c86-8574-e2f66798ba1b","Iruvar","7","6","1","Suhasini"
"0f883553-1bf3-4fe7-83c0-a119cfe58e0d","Santosh Subramaniam","7","6","1","Siddharth"
"adfecb4d-15d5-4dff-a36b-cedeec32fa2d","Kuruthipunal","7","6","1","Anusha"
"d021b36e-f35e-4c0e-8225-597bb0ac497c","Taramani","7","6","1","Siddharth"
"36b7c245-d2ba-4a23-88fe-848dded445ff","Kaappaan","7","6","1","Kvas"
"e267b2df-9887-492c-b4f9-eae48980e2c4","Guru","7","6","1","Kalyani"
"cf03062f-3b7d-4b16-9857-b932f2e98ffc","Ammayi Pelli","2","1","1","Latha"
"8d228b89-4ac8-43ec-9f37-a547d94dfda5","Takkari Donga Chakkani Chukka","2","1","1","K S R Das"
"f0025897-0291-41e4-ba65-c73296664c53","Thalapathi","7","6","1","Suhasini"
"5f032754-9671-4d14-9369-3696752f1a6f","Dongala Veta","2","1","1","K S R Das"
"38887637-ad16-4cee-89d3-08b7a7ee3104","Samajam","2","1","1","Raja Babu"
"03788f74-ac6d-4d6b-a095-7d1cabf54913","Circle","2","1","1","Neelakanta"
"157e267e-93ad-4f29-9b51-4c7c42e4c530","Dongalu Baboi Dongalu","2","1","1","K S R Das"
"6b7c7128-c863-4628-8304-f0febe64630e","Addala Meda","2","1","1","Geetha"
"12d2bbc2-0483-4513-b8ce-5ad695b929a2","Gorintaku","2","1","1","Rajasekhar"
"acba530b-137e-4870-a9ae-a218de00750a","Shaadi Mubarak","15","14","1","Rajashree"
"4dc569f9-1647-4584-a107-4ff952f9372b","Grahanam","8","7","1","Thallavajhula Sundaram"
"15bf4845-c8ef-4ab0-a9df-d2e65c686aa4","Matti Manushulu","2","1","1","Archana"
"3c1fd667-03d1-41de-998b-c7bf7bd73d72","Justice Chakravarthy","2","1","1","Sujatha"
"e908db73-847c-4e13-ae5f-67912a77f09e","Gopala Rao Gari Abbayi","4","1","1","Ashwini"
"6f583e4e-8480-4035-a85e-686cee56e19d","Pranam Khareedu","2","1","1","Jeeva"
"a551f58f-07d0-4475-855d-2ee0e828eb87","Dorakani Donga","5","4","1","K S R Das"
"92aec1e4-47a7-49d4-9169-c95563a4ee80","Muddayi","2","1","1","K S R Das"
"c8eb4881-14e6-44e3-8a81-ca48ee2692a1","Kotha Jeevithalu","2","1","1","Suhasini"
"d4f78c2d-777f-471e-a755-9814c7a8ea78","Deepavali","2","1","1","Bhavana"
"3011df2a-babd-4cef-a6d2-309902254c9c","Leader","8","7","1","Suhasini"
"3ffd2e34-bb13-4191-8973-06077c6fa8fd","Subha Sankalpam","2","1","1","K"
"7b8bc334-545f-48fb-bbc0-2b62bd315b1c","Dasanna","2","1","1","Meena"
"efa0bca4-bbc3-4dc3-8d8b-fc7165c4388a","Virodhi","2","1","1","Neelakanta"
"bad968b2-7c4b-472d-bd89-ae21c6ee0912","Loguttu Perumallukeruka","2","1","1","K S R Das"
"f512c3d9-9b62-45bc-ace6-82bee59f59b3","Raja Simha","2","1","1","K S R Das"
"deb456fb-0883-4a09-82c5-c66ed3287bf2","Lankeswarudu","2","1","1","Ramakrishna"
"5a4bcf6a-885f-46a4-b7bd-4c693f382988","Sita","12","11","1","Teja"
"308f1ff1-71d6-46ff-950e-911e96439192","Rendu Rellu Aaru","7","6","1","Rajashree"
