Actor,Movie Title,Action,Status
"daggubati venkatesh","Namo Venkatesa","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Bodyguard","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Seethamma Vakitlo Sirimalle Chettu","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Drushyam","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Gopala Gopala","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Babu Bangaram","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Guru","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Agnyaathavaasi","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","F2: Fun and Frustration","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Narappa","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","F3: Fun and Frustration","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Kisi Ka Bhai... Kisi Ki Jaan","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Saindhav","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Sankranthiki Vasthunam","Added to supporting_cast",✓ Fixed
"daggubati venkatesh","Mana Shankara Vara Prasad Garu","Added to supporting_cast",✓ Fixed
"geetha","Anwar","Added to supporting_cast",✓ Fixed
"geetha","Uppukandam Brothers Back In Action","Added to supporting_cast",✓ Fixed
"geetha","Mana Voori Pandavulu","Added to supporting_cast",✓ Fixed
"geetha","Iddaru Asadhyule","Added to supporting_cast",✓ Fixed
"geetha","Thathayya Premaleelalu","Added to supporting_cast",✓ Fixed
"geetha","Saagara Sangamam","Added to supporting_cast",✓ Fixed
"geetha","Allullostunnaru","Added to supporting_cast",✓ Fixed
"geetha","Balachandrudu","Added to supporting_cast",✓ Fixed
"geetha","Aapadbandhavudu","Added to supporting_cast",✓ Fixed
"geetha","Nippu Ravva","Added to supporting_cast",✓ Fixed
"geetha","Thodu","Added to supporting_cast",✓ Fixed
"geetha","Pournami","Added to supporting_cast",✓ Fixed
"geetha","Kathanayakudu","Added to supporting_cast",✓ Fixed
"geetha","Pistha","Added to supporting_cast",✓ Fixed
"geetha","Shadow","Added to supporting_cast",✓ Fixed
"geetha","Manasuku Nachindi","Added to supporting_cast",✓ Fixed
"geetha","Venky Mama","Added to supporting_cast",✓ Fixed
"geetha","Brindavana","Added to supporting_cast",✓ Fixed
"geetha","Shivam","Added to supporting_cast",✓ Fixed
"geetha","Kuruthipunal","Added to supporting_cast",✓ Fixed
"geetha","Sivakasi","Added to supporting_cast",✓ Fixed
"geetha","Santosh Subramaniam","Added to supporting_cast",✓ Fixed
"geetha","Aaj Ka Goonda Raj","Added to supporting_cast",✓ Fixed
"jagapathi babu","Kisi Ka Bhai... Kisi Ki Jaan","Added to supporting_cast",✓ Fixed
"jagapathi babu","Ruslaan","Added to supporting_cast",✓ Fixed
"jagapathi babu","Jaat","Added to supporting_cast",✓ Fixed
"jagapathi babu","Victory","Added to supporting_cast",✓ Fixed
"jagapathi babu","Don Seenu","Added to supporting_cast",✓ Fixed
"jagapathi babu","Janatha Garage","Added to supporting_cast",✓ Fixed
"jagapathi babu","Balakrishnudu","Added to supporting_cast",✓ Fixed
"jaggayya","Ardhangi","Added to supporting_cast",✓ Fixed
"jaggayya","Muddu Bidda","Added to supporting_cast",✓ Fixed
"jaggayya","Veera Kankanam","Added to supporting_cast",✓ Fixed
"jaggayya","Anna Thammudu","Added to supporting_cast",✓ Fixed
"jaggayya","Pelli Kanuka","Added to supporting_cast",✓ Fixed
