id,slug,title_en,release_year,issue_type,description,severity
ec4dc19f-6743-47c2-ab4c-1110ee1708c6,"gumrah-1993","Gumrah",1993,DUPLICATE,"Duplicate of gumrah-1993",high
1f339783-8a95-40dc-a318-fdb69edc331e,"marana-porali-2011","Poraali",2011,DUPLICATE,"Duplicate of marana-porali-2011",high
