Priority,Celebrity ID,Name,Movie Count,Status,Issue,Suggested Wikipedia URL,Action Required
"LOW","1c934631-a35a-4a3f-9c38-a70a7964b130","Tarun",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Tarun","Add (actor)/(actress)/(director) to URL"
"LOW","9124d7c0-72fd-4f21-ab80-8a35fe1d2d83","Rajasekhar",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Rajasekhar","Add (actor)/(actress)/(director) to URL"
"LOW","705b822f-216f-486e-964f-24109b906846","Anjali",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Anjali","Add (actor)/(actress)/(director) to URL"
"LOW","f476c584-c5f2-415c-bb6a-9267e823870e","Lakshmi",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Lakshmi","Add (actor)/(actress)/(director) to URL"
"LOW","5c7b187a-ced1-43a8-9a3b-c1a8585c35af","Suhasini",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Suhasini","Add (actor)/(actress)/(director) to URL"
"LOW","ed8993d1-8fe9-4d55-9983-e604e9872e08","Siddharth",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Siddharth","Add (actor)/(actress)/(director) to URL"
"LOW","4287391f-f22b-454d-9d04-f41951af6cfe","Ali",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Ali","Add (actor)/(actress)/(director) to URL"
"LOW","4b95ca0d-2e27-44a2-bac8-124caca0513c","Radha",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Radha","Add (actor)/(actress)/(director) to URL"
"LOW","08a4e8a4-8d99-4508-bfe0-e6d377bc4906","Ram",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Ram","Add (actor)/(actress)/(director) to URL"
"LOW","bd844067-63a6-4ae3-947d-301fc42977fc","Kanchana",0,"disambig_needed","Disambiguation page - needs (actor)/(actress)/(director) suffix","https://en.wikipedia.org/wiki/Kanchana","Add (actor)/(actress)/(director) to URL"
