Slug,Title (English),Title (Telugu),Release Year,Box Office Category,Current Rating,TMDB/Avg Rating,Review Rating,Director,Hero,Heroine,Genres,Is Blockbuster,Is Classic,Is Underrated,Story Score,Direction Score,Performance Score,Suggested Rating,Notes
bad-boy-karthik-tba,"Bad Boy Karthik","",,average,6,,,"Ramesh","Naga Shaurya","Vidhi Yadav","Action; Drama",FALSE,FALSE,FALSE,,,,,
paramanandham-shishyulu-tba,"Paramanandham Shishyulu","",,average,6,,,"G D Naidu 888","Daggupati Vinay","No Female Lead","Comedy",FALSE,FALSE,FALSE,,,,,
naa-katha-tba,"Naa Katha","",,average,6,,,"Ratnakar Peravali","Suman Shetty","No Female Lead","Drama",FALSE,FALSE,FALSE,,,,,
natudu-tba,"Natudu","",,average,6,,,"Prasad","Kavya Shetty","Nagineedu Vellanki","Romance; Thriller",FALSE,FALSE,FALSE,,,,,
patta-pagalu-tba,"Patta Pagalu","",,average,6,,,"Ram Gopal Varma","Tanikella Bharani","Swati Dixit","Horror",FALSE,FALSE,FALSE,,,,,
mirai-jaithraya-tba,"Mirai Jaithraya","",,average,6,,,"Karthik Ghattamaneni","Teja Sajja","Ritika Nayak","Action; Thriller; Fantasy",FALSE,FALSE,FALSE,,,,,
sambarala-yetti-gattu-tba,"Sambarala Yetti Gattu","",,average,6,,,"Rohith KP","Sai Durgha Tej","Aishwarya Lekshmi","Action; Fantasy",FALSE,FALSE,FALSE,,,,,
they-call-him-og-2-tba,"They Call Him OG 2","",,average,6,,,"Sujeeth","Pawan Kalyan","No Female Lead","Thriller; Action",FALSE,FALSE,FALSE,,,,,
nagabandham-tba,"Nagabandham","నాగబంధం",,average,6,,,"Abhishek Nama","Virat Karrna","Nabha Natesh","Drama; Romance; Action",FALSE,FALSE,FALSE,,,,,
pushpa-3-the-rampage-tba,"Pushpa 3 - The Rampage","",,average,5.8,,,"Sukumar","Allu Arjun","Rashmika Mandanna","Action; Crime; Thriller",FALSE,FALSE,FALSE,,,,,
varanasi-tba,"Vāranāsi","S.S. Rajamouli's వారణాసి",,average,5.8,,,"S. S. Rajamouli","Mahesh Babu","Priyanka Chopra Jonas","Adventure; Action; Science Fiction; Fantasy",FALSE,FALSE,FALSE,,,,,
baahubali-the-eternal-war-part-1-2027,"Baahubali: the Eternal War - Part 1","బాహుబలి: ది ఎటర్నల్ వార్",2027,blockbuster,7,,,"Ishan Shukla","Prabhas","Ramya Krishnan","Animation; Action; Drama",TRUE,FALSE,FALSE,,,,,
funky-2026,"Funky","",2026,average,6.5,6.5,,"Anudeep","Vishwak Sen","Kayadu Lohar","Comedy; Romance; Drama",FALSE,FALSE,TRUE,,,,,
rowdy-janardhana-2026,"Rowdy Janardhana","",2026,average,6.4,6.4,,"Ravikiran Kola","Vijay Deverakonda","Keerthy Suresh","Action; Thriller; Drama",FALSE,FALSE,TRUE,,,,,
lenin-tba,"Lenin","",2026,hit,6.3,,,"Murali Kishor Abburu","Akhil Akkineni","Bhagyashri Borse","Drama",FALSE,FALSE,FALSE,,,,,
nilakanta-2026,"Nilakanta","",2026,hit,6.3,,,"Rakesh Madhavan","Mahendran","Yashna Chowdary","Drama; Romance",FALSE,FALSE,FALSE,,,,,
the-paradise-2026,"The Paradise","",2026,average,6.1,6.1,,"Srikanth Odela","Nani","Janhvi Kapoor","Action; Thriller; Drama",FALSE,FALSE,TRUE,,,,,
alcohol-2026,"Alcohol","",2026,average,6,,,"Meher Tej","Allari Naresh","Ruhani Sharma","Comedy; Drama; Thriller",FALSE,FALSE,FALSE,,,,,
honey-2026,"Honey","",2026,average,6,,,"Karuna Kumar","Naveen Chandra","Divya Pillai","Horror; Thriller",FALSE,FALSE,FALSE,,,,,
goodachari-2-2026,"Goodachari 2","గూఢచారి 2",2026,average,6,,,"Vinay Kumar Sirigineedi","Adivi Sesh","Banita Sandhu","Action; Thriller",FALSE,FALSE,FALSE,,,,,
itllu-arjuna-2026,"Itllu Arjuna","",2026,average,6,,,"Mahesh Uppala","Aniesh","Anaswara Rajan","Action; Romance",FALSE,FALSE,FALSE,,,,,
rao-bahadur-2026,"Rao Bahadur","",2026,average,6,6,,"Venkatesh Maha","Satyadev Kancharana","Deepa Thomas","Thriller; Drama; Fantasy",FALSE,FALSE,TRUE,,,,,
bhartha-mahasayulaku-wignyapthi-2026,"Bhartha Mahasayulaku Wignyapthi","భర్త మహాశయులకు విన్నపం",2026,average,6,,,"Kishore Tirumala","Ravi Teja","Ashika Ranganath","Action; Family; Drama",FALSE,FALSE,FALSE,,,,,
dark-chocolate-2026,"Dark Chocolate","",2026,average,6,,,"Shashank Srivatsavaya","Vishwadev Rachakonda","Bindu Madhavi","Comedy; Thriller",FALSE,FALSE,FALSE,,,,,
dragon-ntr-2026,"Dragon","డ్రాగన్",2026,average,6,,,"Prashanth Neel","Jr. N. T. Rama Rao","Rukmini Vasanth","Action; Thriller",FALSE,FALSE,FALSE,,,,,
om-shanti-shanti-shantihi-2026,"Om Shanti Shanti Shantihi","",2026,average,6,,,"Sajeev AR","Tharun Bhascker","Eesha Rebba","Comedy",FALSE,FALSE,FALSE,,,,,
seetha-payanam-2026,"Seetha Payanam","",2026,average,6,,,"Arjun Sarja","Niranjan Sudhindra","Aishwarya Arjun","Romance",FALSE,FALSE,FALSE,,,,,
swayambhu-2026,"Swayambhu","స్వయంభూ",2026,average,6,6,,"Bharath Krishnamachari","Nikhil Siddhartha","Samyuktha","Period; Mythological; Drama",FALSE,FALSE,TRUE,,,,,
anaganaga-oka-raju-2026,"Anaganaga Oka Raju","అనగనగా ఒక రాజు",2026,average,6,,,"Maari","Naveen Polishetty","Meenakshi Chaudhary","Romance; Comedy; Drama",FALSE,FALSE,FALSE,,,,,
aakasam-lo-oka-tara-2026,"Aakasam Lo Oka Tara","ఆకాశంలో ఒక తార",2026,average,6,,,"Pavan Sadineni","Dulquer Salmaan","Ruhani Sharma","Drama",FALSE,FALSE,FALSE,,,,,
spirit,"Spirit","స్పిరిట్",2026,average,5.8,,,"Sandeep Reddy Vanga","Prabhas","Triptii Dimri","Action; Thriller",FALSE,FALSE,FALSE,,,,,
ustaad-bhagat-singh-2026,"Ustaad Bhagat Singh","ఉస్తాద్ భగత్ సింగ్",2026,average,5.8,,,"Harish Shankar","Pawan Kalyan","Sreeleela","Action; Drama",FALSE,FALSE,FALSE,,,,,
the-king-of-kings-2025,"The King of Kings","",2025,super-hit,9,8.5,,"Jang Seong-ho","Oscar Isaac","Kenneth Branagh","Animation; Family; Fantasy; Drama; Adventure",TRUE,FALSE,FALSE,,,,,
kpop-demon-hunters-2025,"KPop Demon Hunters","",2025,super-hit,8.7,8.16,,"Chris Appelhans","Arden Cho","May Hong","Fantasy; Music; Comedy; Animation",TRUE,FALSE,FALSE,,,,,
ocean-with-david-attenborough-2025,"Ocean With David Attenborough","",2025,super-hit,8.7,8.21,,"Colin Butfield","David Attenborough","","Documentary",TRUE,FALSE,FALSE,,,,,
tourist-family-2025,"Tourist Family","",2025,blockbuster,8.7,7.97,,"Abishan Jeevinth","M. Sasikumar","Simran","Comedy; Drama; Family",TRUE,FALSE,FALSE,,,,,
marty-supreme-2025,"Marty Supreme","",2025,blockbuster,8.6,7.86,,"Josh Safdie","Timothée Chalamet","Gwyneth Paltrow","Drama; Comedy",TRUE,FALSE,FALSE,,,,,
baahubali-the-epic-2025,"Baahubali: The Epic","",2025,average,8.5,8.8,,"S. S. Rajamouli","Prabhas","Anushka Shetty","Action; Drama",TRUE,FALSE,FALSE,,,,,
pink-floyd-live-at-pompeii-2025,"Pink Floyd: Live at Pompeii","",2025,super-hit,8.5,8,,"Adrian Maben","Roger Waters","David Gilmour","Music; Documentary",TRUE,FALSE,FALSE,,,,,
dragon-2025,"Dragon","",2025,blockbuster,8.4,7.7,,"Ashwath Marimuthu","Pradeep Ranganathan","Anupama Parameswaran","Romance; Comedy; Drama",TRUE,FALSE,FALSE,,,,,
ponman-2025,"Ponman","",2025,blockbuster,8.4,7.7,,"Jyothish Shankar","Basil Joseph","Lijomol Jose","Drama; Comedy; Thriller",TRUE,FALSE,FALSE,,,,,
frankenstein-2025,"Frankenstein","",2025,blockbuster,8.4,7.71,,"Guillermo del Toro","Oscar Isaac","Jacob Elordi","Drama; Fantasy; Horror",TRUE,FALSE,FALSE,,,,,
how-to-train-your-dragon-2025,"How to Train Your Dragon","",2025,hit,8.3,7.97,,"Dean DeBlois","Mason Thames","Nico Parker","Fantasy; Family; Action; Adventure",FALSE,FALSE,FALSE,,,,,
sinners-2025,"Sinners","సిన్నర్స్",2025,blockbuster,8.2,7.5,,"Ryan Coogler","Michael B. Jordan","Hailee Steinfeld","Horror; Action; Thriller",TRUE,FALSE,FALSE,,,,,
one-battle-after-another-2025,"One Battle After Another","",2025,blockbuster,8.2,7.5,,"Paul Thomas Anderson","Leonardo DiCaprio","Sean Penn","Thriller; Crime; Action",TRUE,FALSE,FALSE,,,,,
